"","date","day_of_week","throughput","touch_time","total_batches","total_models","avg_models_batch","total_time_batching","avg_time_batching","total_size","total_reports","total_sys_time_processing","avg_sys_time_processing","throughput_rate","throughput_efficiency","avg_size_model","avg_size_batch"
"1",2019-03-21,"Thursday",646,1506.8,9,650,81.25,4216.36000000004,527.045000000005,1243749279,8,11694.0267499983,1461.75334374979,0.993846153846154,0.428723121847624,1913460.42923077,138194364.333333
"2",2019-03-22,"Friday",2679,2196.2,13,2750,250,16371.882,1488.35290909091,4422104772,11,16186.520999829,1471.50190907536,0.974181818181818,1.21983425917494,1608038.09890909,340161905.538462
"3",2019-03-23,"Saturday",3071,1678.4,7,3200,400,18687.28,2335.91000000001,4860357446,8,7648.13400006294,956.016750007868,0.9596875,1.82971877979028,1518861.701875,694336778
"4",2019-03-24,"Sunday",4279,2307.8,12,4400,400,25695.0100000001,2335.91000000001,8983892101,11,11017.8900001049,1001.6263636459,0.9725,1.85414680648236,2041793.65931818,748657675.083333
"5",2019-03-25,"Monday",3350,1888.2,9,3600,400,21023.1900000001,2335.91000000001,5062753466,9,12000.2129998207,1333.35699998008,0.930555555555556,1.77417646435759,1406320.40722222,562528162.888889
"6",2019-03-26,"Tuesday",2780,1468.6,4,2800,400,16351.37,2335.91000000001,4785979929,7,93755.9110000134,13393.7015714305,0.992857142857143,1.89295928094784,1709278.54607143,1196494982.25
"7",2019-03-27,"Wednesday",4664,2517.6,14,4800,400,28030.9200000001,2335.91000000001,10604130027,12,57478.3510000706,4789.86258333921,0.971666666666667,1.85255799173816,2209193.755625,757437859.071429
"8",2019-03-28,"Thursday",13924,8182.2,38,15600,400,91100.4900000002,2335.91000000001,35010948665,39,48166.4529995918,1235.03725639979,0.892564102564103,1.70174280755787,2244291.58108974,921340754.342105
"9",2019-03-29,"Friday",13743,8392,39,16000,400,93436.4000000003,2335.91000000001,36022953669,40,54232.4619998932,1355.81154999733,0.8589375,1.6376310772164,2251434.6043125,923665478.692308
"10",2019-03-30,"Saturday",8421,5454.8,26,10400,400,60733.6600000002,2335.91000000001,22949706699,26,32090.4659882756,1234.24869185675,0.809711538461538,1.54377795702867,2206702.56721154,882681026.884615
"11",2019-03-31,"Sunday",3883,2098,10,4000,400,23359.1000000001,2335.91000000001,8393114072,10,15230.7500002384,1523.07500002384,0.97075,1.85081029551954,2098278.518,839311407.2
"12",2019-04-01,"Monday",5189,5173.76666666667,8,6000,1000,41909.9593846154,6984.99323076923,13444151971,6,18540.8770000935,3090.14616668224,0.864833333333333,1.00294434100236,2240691.99516667,1680518996.375
"13",2019-04-02,"Tuesday",2972,2586.88333333333,2,3000,1000,20954.9796923077,6984.99323076923,7322815905,3,13837.9240658471,4612.64135528238,0.990666666666667,1.1488728392596,2440938.635,3661407952.5
"14",2019-04-03,"Wednesday",1967,1724.58888888889,3,2000,1000,13969.9864615385,6984.99323076923,4860081061,2,15326.8150000572,7663.40750002861,0.9835,1.14056167975621,2430040.5305,1620027020.33333
"15",2019-04-04,"Thursday",2981,2586.88333333333,4,3000,1000,20954.9796923077,6984.99323076923,7538398084,3,41729.6349999905,13909.8783333302,0.993666666666667,1.15235192928427,2512799.36133333,1884599521
"16",2019-04-05,"Friday",8037,7880.65,13,9005,900.5,58282.3029230769,5828.23029230769,20818345101,10,36946.7369999886,3694.67369999886,0.892504164353137,1.01983973403209,2311865.08617435,1601411161.61538
"17",2019-04-06,"Saturday",1772,1724.58888888889,0,2000,1000,15709.83,7854.915,6500652531,2,13519.6779999733,6759.83899998665,0.886,1.02749125395424,3250326.2655,NA
"18",2019-04-08,"Monday",9051,8622.94444444445,9,10000,1000,66660.15,6666.015,21765323777,10,31407.1099998951,3140.71099998951,0.9051,1.04964146044468,2176532.3777,2418369308.55556
"19",2019-04-09,"Tuesday",4633,4311.47222222222,9,5000,1000,31418.78,6283.756,11608420596,5,16288.6989998817,3257.73979997635,0.9266,1.07457493895486,2321684.1192,1289824510.66667
"20",2019-04-10,"Wednesday",8678,7760.65,10,9000,1000,59561.6,6617.95555555556,19992828065,9,29585.2190001011,3287.24655556679,0.964222222222222,1.11820530496801,2221425.34055556,1999282806.5
"21",2019-04-11,"Thursday",7735,6898.35555555556,10,8000,1000,52256.57,6532.07125,16983388058,8,34628.4130003452,4328.55162504315,0.966875,1.12128172253613,2122923.50725,1698338805.8
"22",2019-04-12,"Friday",9386,8622.94444444445,7,10000,1000,80406.55,8040.655,23814322022,10,38892.0850002766,3889.20850002766,0.9386,1.08849129905356,2381432.2022,3402046003.14286
