"sql","dpmo","yield"
0,933193,6.7
0.05,926471,7.4
0.1,919243,8.1
0.15,911492,8.9
0.2,903200,9.7
0.25,894350,10.6
0.3,884930,11.5
0.35,874928,12.5
0.4,864334,13.6
0.45,853141,14.7
0.5,841345,15.9
0.55,828944,17.1
0.6,815940,18.4
0.65,802337,19.8
0.7,788145,21.2
0.75,773373,22.7
0.8,758036,24.2
0.85,742154,25.8
0.9,725747,27.4
0.95,708840,29.1
1,691462,30.9
1.05,673645,32.6
1.1,655422,34.5
1.15,636831,36.3
1.2,617911,38.2
1.25,598706,40.1
1.3,579260,42.1
1.35,559618,44
1.4,539828,46
1.45,519939,48
1.5,5e+05,50
1.55,480061,52
1.6,460172,54
1.65,440382,56
1.7,420740,57.9
1.75,401294,59.9
1.8,382089,61.8
1.85,363169,63.7
1.9,344578,65.5
1.95,326355,67.4
2,308538,69.1
2.05,291160,70.9
2.1,274253,72.6
2.15,257846,74.2
2.2,241964,75.8
2.25,226627,77.3
2.3,211855,78.8
2.35,197663,80.2
2.4,184060,81.6
2.45,171056,82.9
2.5,158655,84.1
2.55,146859,85.3
2.6,135666,86.4
2.65,125072,87.5
2.7,115070,88.5
2.75,105650,89.4
2.8,96800,90.3
2.85,88508,91.1
2.9,80757,91.9
2.95,73529,92.6
3,66807,93.3
3.05,60571,93.9
3.1,54799,94.5
3.15,49471,95.1
3.2,44565,95.5
3.25,40059,96
3.3,35930,96.4
3.35,32157,96.8
3.4,28717,97.1
3.45,25588,97.4
3.5,22750,97.7
3.55,20182,98
3.6,17864,98.2
3.65,15778,98.4
3.7,13903,98.6
3.75,12224,98.8
3.8,10724,98.9
3.85,9387,99.1
3.9,8198,99.2
3.95,7143,99.3
4,6210,99.379
4.05,5386,99.4614
4.1,4661,99.5339
4.15,4025,99.5975
4.2,3467,99.6533
4.25,2980,99.702
4.3,2555,99.7445
4.35,2186,99.7814
4.4,1866,99.8134
4.45,1589,99.8411
4.5,1350,99.865
4.55,1144,99.8856
4.6,968,99.9032
4.65,816,99.9184
4.7,687,99.9313
4.75,577,99.9423
4.8,483,99.9517
4.85,404,99.9596
4.9,337,99.9663
4.95,280,99.972
5,233,99.9767
5.05,193,99.9807
5.1,159,99.9841
5.15,131,99.9869
5.2,108,99.9892
5.25,88,99.9912
5.3,72,99.9928
5.35,59,99.9941
5.4,48,99.9952
5.45,39,99.9961
5.5,32,99.9968
5.55,26,99.9974
5.6,21,99.9979
5.65,17,99.9983
5.7,13,99.9987
5.75,11,99.9989
5.8,9,99.9991
5.85,7,99.9993
5.9,5,99.9995
5.95,4,99.9996
6,3.4,99.9997
